přijat/nepřijat;reg. číslo;tajné číslo;JPZ body;JPZ percentil;psychotest body;psychotest percentil;pohovor body;pohovor percentil;pořadí;poznámka
NE;814753;89;85;94%;28;83%;25;58%;10;Přijat na více prioritní školu
NE;814782;90;73;85%;26;67%;23.5;45%;24;Přijat na více prioritní školu
ANO;814786;91;45;36%;24;47%;22;36%;81;
NE;814791;92;60;68%;23;36%;17.5;20%;56;Přijat na více prioritní školu
NE;814792;93;37;23%;26;67%;16.5;15%;89;Nepřijat pro nedostačující kapacitu oboru
ANO;814881;95;56;63%;24;47%;28.5;89%;43;
ANO;814943;96;64;73%;25;56%;27;70%;30;
NE;815021;97;33;18%;16;6%;14;9%;102;Nepřijat pro nedostačující kapacitu oboru
NE;815121;98;88;96%;29;91%;26.5;67%;8;Přijat na více prioritní školu
ANO;815529;99;79;91%;30;95%;28;81%;9;
ANO;815598;100;46;40%;25;56%;28;81%;61;
NE;815604;101;50;50%;18;11%;22;36%;82;Nepřijat pro nedostačující kapacitu oboru
NE;815621;102;32;16%;20;19%;26;61%;103;Nepřijat pro nesplnění podmínek přijímacího řízení
NE;815644;103;30;11%;17;11%;29;91%;103;Nepřijat pro nesplnění podmínek přijímacího řízení
ANO;815720;104;53;58%;26;67%;25;58%;49;
NE;816137;105;33;18%;23;36%;27;70%;103;Nepřijat pro nesplnění podmínek přijímacího řízení
NE;816216;106;22;2%;18;11%;15;11%;103;Nepřijat pro nesplnění podmínek přijímacího řízení
ANO;816524;107;59;67%;25;56%;27.5;79%;37;
NE;816566;108;67;75%;27;79%;11;2%;103;Nepřijat pro nesplnění podmínek přijímacího řízení
ANO;816611;109;44;34%;21;24%;28;81%;80;
ANO;816798;110;52;55%;22;30%;16;14%;74;
NE;816899;111;33;18%;20;19%;22;36%;103;Nepřijat pro nesplnění podmínek přijímacího řízení
NE;816910;112;32;16%;20;19%;12;4%;101;Nepřijat pro nedostačující kapacitu oboru
NE;817073;113;39;27%;21;24%;27;70%;87;Nepřijat pro nedostačující kapacitu oboru
NE;817111;114;86;95%;26;67%;22.5;41%;16;Přijat na více prioritní školu
ANO;817205;115;70;80%;28;83%;27;70%;18;
